,category,hour,location,name,price,url,year
672,FORKLIFTS,2Hours,"SantaMaria,CA,UnitedStates",CATERPILLAR LIFT TRUCKS FORKLIFTS 2ET4000-48 2015,$Call,/en/CATERPILLAR%20LIFT%20TRUCKS/FORKLIFTS/2ET4000-48/2299672/detail_view.html,2015
673,FORKLIFTS,49Hours,"Salinas,CA,UnitedStates",CATERPILLAR LIFT TRUCKS FORKLIFTS EC30N2-AC 2015,$Call,/en/CATERPILLAR%20LIFT%20TRUCKS/FORKLIFTS/EC30N2-AC/2299670/detail_view.html,2015
674,FORKLIFTS,505Hours,"Salinas,CA,UnitedStates",MITSUBISHI FORKLIFTS FORKLIFTS FB18PNT-AC 2015,$Call,/en/MITSUBISHI%20FORKLIFTS/FORKLIFTS/FB18PNT-AC/2484011/detail_view.html,2015
675,FORKLIFTS,5855Hours,"Bakersfield,CA,UnitedStates",KALMAR FORKLIFTS DCG90-6 2014,$Call,/en/KALMAR/FORKLIFTS/DCG90-6/2453714/detail_view.html,2014
676,FORKLIFTS,89Hours,"Salinas,CA,UnitedStates",MITSUBISHI FORKLIFTS FORKLIFTS FB18PNT-AC 2014,$Call,/en/MITSUBISHI%20FORKLIFTS/FORKLIFTS/FB18PNT-AC/2299663/detail_view.html,2014
677,FORKLIFTS,73Hours,"SantaMaria,CA,UnitedStates",CATERPILLAR LIFT TRUCKS FORKLIFTS EC25N2-AC 2014,$Call,/en/CATERPILLAR%20LIFT%20TRUCKS/FORKLIFTS/EC25N2-AC/2299669/detail_view.html,2014
678,FORKLIFTS,115Hours,"Salinas,CA,UnitedStates",JUNGHEINRICH FORKLIFTS ETG235-36V 2014,$Call,/en/JUNGHEINRICH/FORKLIFTS/ETG235-36V/2299667/detail_view.html,2014
679,FORKLIFTS,9689Hours,"SantaMaria,CA,UnitedStates",MITSUBISHI FORKLIFTS FORKLIFTS FBC25EN 2013,$Call,/en/MITSUBISHI%20FORKLIFTS/FORKLIFTS/FBC25EN/2464673/detail_view.html,2013
680,FORKLIFTS,10990Hours,"SantaMaria,CA,UnitedStates",MITSUBISHI FORKLIFTS FORKLIFTS FBC25EN 2013,$Call,/en/MITSUBISHI%20FORKLIFTS/FORKLIFTS/FBC25EN/2464675/detail_view.html,2013
681,FORKLIFTS,11591Hours,"SantaMaria,CA,UnitedStates",MITSUBISHI FORKLIFTS FORKLIFTS FG30N-LP 2013,$Call,/en/MITSUBISHI%20FORKLIFTS/FORKLIFTS/FG30N-LP/2529014/detail_view.html,2013
682,FORKLIFTS,9601Hours,"Bakersfield,CA,UnitedStates",MITSUBISHI FORKLIFTS FORKLIFTS FBC25EN 2013,$Call,/en/MITSUBISHI%20FORKLIFTS/FORKLIFTS/FBC25EN/2464674/detail_view.html,2013
683,FORKLIFTS,8997Hours,"SantaMaria,CA,UnitedStates",MITSUBISHI FORKLIFTS FORKLIFTS FBC25EN 2013,$Call,/en/MITSUBISHI%20FORKLIFTS/FORKLIFTS/FBC25EN/2464676/detail_view.html,2013
